           #qpath      Energy(meV)
  0.0000000000E+00 -1.2930990372E-02
  9.7814892498E-01  3.2877666909E+01
  9.8555914411E-01  3.3335770173E+01
  9.9296936324E-01  3.3795239975E+01
  1.0003795824E+00  3.4255995266E+01
  1.0077898015E+00  3.4717953000E+01
  1.0152000206E+00  3.5181028037E+01
  1.0226102398E+00  3.5645133055E+01
  1.0300204589E+00  3.6110178436E+01
  1.0374306780E+00  3.6576072152E+01
  1.0448408971E+00  3.7042719641E+01
  1.0522511163E+00  3.7510023663E+01
  1.0596613354E+00  3.7977884155E+01
  1.0670715545E+00  3.8446198060E+01
  1.0744817737E+00  3.8914859151E+01
  1.0818919928E+00  3.9383757831E+01
  1.0893022119E+00  3.9852780916E+01
  1.0967124310E+00  4.0321811403E+01
  1.1041226502E+00  4.0790728207E+01
  1.1115328693E+00  4.1259405880E+01
  1.1189430884E+00  4.1727714299E+01
  1.1263533076E+00  4.2195518329E+01
  1.1337635267E+00  4.2662677446E+01
  1.1411737458E+00  4.3129045333E+01
  1.1485839649E+00  4.3594469430E+01
  1.1559941841E+00  4.4058790441E+01
  1.1634044032E+00  4.4521841799E+01
  1.1708146223E+00  4.4983449072E+01
  1.1782248415E+00  4.5443429314E+01
  1.1856350606E+00  4.5901590357E+01
  1.1930452797E+00  4.6357730029E+01
  1.2004554988E+00  4.6811635299E+01
  1.2078657180E+00  4.7263081345E+01
  1.2152759371E+00  4.7711830530E+01
  1.2226861562E+00  4.8157631282E+01
  1.2300963754E+00  4.8600216874E+01
  1.2375065945E+00  4.9039304100E+01
  1.2449168136E+00  4.9474591829E+01
  1.2523270327E+00  4.9905759444E+01
  1.2597372519E+00  5.0332465155E+01
  1.2671474710E+00  5.0754344190E+01
  1.2745576901E+00  5.1171006861E+01
  1.2819679093E+00  5.1582036513E+01
  1.2893781284E+00  5.1986987366E+01
  1.2967883475E+00  5.2385382282E+01
  1.3041985666E+00  5.2776710458E+01
  1.3116087858E+00  5.3160425128E+01
  1.3190190049E+00  5.3535941292E+01
  1.3264292240E+00  5.3902633583E+01
  1.3338394432E+00  5.4259834353E+01
  1.3412496623E+00  5.4606832111E+01
  1.3486598814E+00  5.4942870483E+01
  1.3560701005E+00  5.5267147867E+01
  1.3634803197E+00  5.5578818029E+01
  1.3708905388E+00  5.5876991882E+01
  1.3783007579E+00  5.6160740749E+01
  1.3857109771E+00  5.6429101380E+01
  1.3931211962E+00  5.6681083042E+01
  1.4005314153E+00  5.6915676907E+01
  1.4079416344E+00  5.7131867939E+01
  1.4153518536E+00  5.7328649332E+01
  1.4227620727E+00  5.7505039396E+01
  1.4301722918E+00  5.7660100597E+01
  1.4375825110E+00  5.7792960187E+01
  1.4449927301E+00  5.7902831625E+01
  1.4524029492E+00  5.7989035773E+01
  1.4598131683E+00  5.8051020665E+01
  1.4672233875E+00  5.8088378601E+01
  1.4746336066E+00  5.8100859367E+01
  1.4746336066E+00  5.8100859367E+01
  1.4780528038E+00  5.8100828489E+01
  1.4814720011E+00  5.8100735894E+01
  1.4848911983E+00  5.8100581694E+01
  1.4883103955E+00  5.8100366075E+01
  1.4917295927E+00  5.8100089300E+01
  1.4951487900E+00  5.8099751706E+01
  1.4985679872E+00  5.8099353703E+01
  1.5019871844E+00  5.8098895779E+01
  1.5054063817E+00  5.8098378494E+01
  1.5088255789E+00  5.8097802484E+01
  1.5122447761E+00  5.8097168461E+01
  1.5156639733E+00  5.8096477209E+01
  1.5190831706E+00  5.8095729589E+01
  1.5225023678E+00  5.8094926535E+01
  1.5259215650E+00  5.8094069058E+01
  1.5293407623E+00  5.8093158241E+01
  1.5327599595E+00  5.8092195244E+01
  1.5361791567E+00  5.8091181300E+01
  1.5395983539E+00  5.8090117718E+01
  1.5430175512E+00  5.8089005880E+01
  1.5464367484E+00  5.8087847243E+01
  1.5498559456E+00  5.8086643339E+01
  1.5532751429E+00  5.8085395775E+01
  1.5566943401E+00  5.8084106231E+01
  1.5601135373E+00  5.8082776462E+01
  1.5635327345E+00  5.8081408298E+01
  1.5669519318E+00  5.8080003642E+01
  1.5703711290E+00  5.8078564472E+01
  1.5737903262E+00  5.8077092839E+01
  1.5772095235E+00  5.8075590871E+01
  1.5806287207E+00  5.8074060766E+01
  1.5840479179E+00  5.8072504799E+01
  1.5874671151E+00  5.8070925318E+01
  1.5908863124E+00  5.8069324744E+01
  1.5943055096E+00  5.8067705573E+01
  1.5977247068E+00  5.8066070372E+01
  1.6011439041E+00  5.8064421785E+01
  1.6045631013E+00  5.8062762527E+01
  1.6079822985E+00  5.8061095387E+01
  1.6114014957E+00  5.8059423227E+01
  1.6148206930E+00  5.8057748981E+01
  1.6182398902E+00  5.8056075658E+01
  1.6216590874E+00  5.8054406339E+01
  1.6250782847E+00  5.8052744176E+01
  1.6284974819E+00  5.8051092395E+01
  1.6319166791E+00  5.8049454293E+01
  1.6353358763E+00  5.8047833241E+01
  1.6387550736E+00  5.8046232681E+01
  1.6421742708E+00  5.8044656125E+01
  1.6455934680E+00  5.8043107158E+01
  1.6490126653E+00  5.8041589437E+01
  1.6524318625E+00  5.8040106689E+01
  1.6558510597E+00  5.8038662712E+01
  1.6592702569E+00  5.8037261374E+01
  1.6626894542E+00  5.8035906615E+01
  1.6661086514E+00  5.8034602442E+01
  1.6695278486E+00  5.8033352936E+01
  1.6729470459E+00  5.8032162243E+01
  1.6763662431E+00  5.8031034582E+01
  1.6797854403E+00  5.8029974237E+01
  1.6832046375E+00  5.8028985565E+01
  1.6866238348E+00  5.8028072988E+01
  1.6900430320E+00  5.8027240996E+01
  1.6934622292E+00  5.8026494147E+01
  1.6968814265E+00  5.8025837067E+01
  1.7003006237E+00  5.8025274448E+01
  1.7037198209E+00  5.8024811046E+01
  1.7071390181E+00  5.8024451687E+01
  1.7105582154E+00  5.8024201258E+01
  1.7139774126E+00  5.8024064715E+01
  1.7173966098E+00  5.8024047076E+01
  1.7208158071E+00  5.8024153422E+01
  1.7242350043E+00  5.8024388900E+01
  1.7276542015E+00  5.8024758718E+01
  1.7310733987E+00  5.8025268146E+01
  1.7344925960E+00  5.8025922518E+01
  1.7379117932E+00  5.8026727228E+01
  1.7413309904E+00  5.8027687728E+01
  1.7447501877E+00  5.8028809534E+01
  1.7481693849E+00  5.8030098219E+01
  1.7515885821E+00  5.8031559414E+01
  1.7550077794E+00  5.8033198810E+01
  1.7584269766E+00  5.8035022153E+01
  1.7618461738E+00  5.8037035247E+01
  1.7652653710E+00  5.8039243952E+01
  1.7686845683E+00  5.8041654180E+01
  1.7721037655E+00  5.8044271901E+01
  1.7755229627E+00  5.8047103137E+01
  1.7789421600E+00  5.8050153960E+01
  1.7823613572E+00  5.8053430497E+01
  1.7857805544E+00  5.8056938924E+01
  1.7891997516E+00  5.8060685468E+01
  1.7926189489E+00  5.8064676403E+01
  1.7960381461E+00  5.8068918053E+01
  1.7994573433E+00  5.8073416788E+01
  1.8028765406E+00  5.8078179023E+01
  1.8062957378E+00  5.8083211221E+01
  1.8097149350E+00  5.8088519885E+01
  1.8131341322E+00  5.8094111564E+01
  1.8165533295E+00  5.8099992846E+01
  1.8199725267E+00  5.8106170363E+01
  1.8233917239E+00  5.8112650783E+01
  1.8268109212E+00  5.8119440815E+01
  1.8302301184E+00  5.8126547203E+01
  1.8336493156E+00  5.8133976729E+01
  1.8370685128E+00  5.8141736207E+01
  1.8404877101E+00  5.8149832487E+01
  1.8439069073E+00  5.8158272450E+01
  1.8473261045E+00  5.8167063007E+01
  1.8507453018E+00  5.8176211099E+01
  1.8541644990E+00  5.8185723696E+01
  1.8575836962E+00  5.8195607794E+01
  1.8610028934E+00  5.8205870413E+01
  1.8644220907E+00  5.8216518599E+01
  1.8678412879E+00  5.8227559418E+01
  1.8712604851E+00  5.8238999959E+01
  1.8746796824E+00  5.8250847329E+01
  1.8780988796E+00  5.8263108653E+01
  1.8815180768E+00  5.8275791073E+01
  1.8849372740E+00  5.8288901744E+01
  1.8883564713E+00  5.8302447836E+01
  1.8917756685E+00  5.8316436528E+01
  1.8951948657E+00  5.8330875013E+01
  1.8986140630E+00  5.8345770486E+01
  1.9020332602E+00  5.8361130154E+01
  1.9054524574E+00  5.8376961225E+01
  1.9088716546E+00  5.8393270912E+01
  1.9122908519E+00  5.8410066429E+01
  1.9157100491E+00  5.8427354986E+01
  1.9191292463E+00  5.8445143796E+01
  1.9225484436E+00  5.8463440065E+01
  1.9259676408E+00  5.8482250991E+01
  1.9293868380E+00  5.8501583767E+01
  1.9328060352E+00  5.8521445576E+01
  1.9362252325E+00  5.8541843587E+01
  1.9396444297E+00  5.8562784957E+01
