           #Qpath      Energy(meV)           S(Q,E)
  0.0000000000E+00  5.1127819549E+00  2.5506219662E+01
  0.0000000000E+00  5.1629072682E+00  1.7849420039E+01
  0.0000000000E+00  5.2130325815E+00  1.2447708792E+01
  0.0000000000E+00  5.2631578947E+00  8.6505162374E+00
  0.0000000000E+00  5.3132832080E+00  5.9907600861E+00
  0.0000000000E+00  5.3634085213E+00  4.1343679521E+00
  0.0000000000E+00  5.4135338346E+00  2.8433061171E+00
  0.0000000000E+00  5.4636591479E+00  1.9486121638E+00
  0.0000000000E+00  5.5137844612E+00  1.3308052178E+00
  0.0000000000E+00  5.5639097744E+00  9.0571357426E-01
  0.0000000000E+00  5.6140350877E+00  6.1426327997E-01
  0.0000000000E+00  5.6641604010E+00  4.1515046439E-01
  0.0000000000E+00  5.7142857143E+00  2.7960426883E-01
  0.0000000000E+00  5.7644110276E+00  1.8765898510E-01
  0.0000000000E+00  5.8145363409E+00  1.2551112570E-01
  0.0000000000E+00  5.8646616541E+00  8.3653166001E-02
  0.0000000000E+00  5.9147869674E+00  5.5560972112E-02
  0.0000000000E+00  5.9649122807E+00  3.6774314430E-02
  0.0000000000E+00  6.0150375940E+00  2.4255298877E-02
  0.0000000000E+00  6.0651629073E+00  1.5942483337E-02
  0.0000000000E+00  6.1152882206E+00  1.0442214474E-02
  0.0000000000E+00  6.1654135338E+00  6.8157953553E-03
  0.0000000000E+00  6.2155388471E+00  4.4333066409E-03
  0.0000000000E+00  6.2656641604E+00  2.8735998781E-03
  0.0000000000E+00  6.3157894737E+00  1.8561459310E-03
  0.0000000000E+00  6.3659147870E+00  1.1947725462E-03
  0.0000000000E+00  6.4160401003E+00  7.6638262080E-04
  0.0000000000E+00  6.4661654135E+00  4.8988411439E-04
  0.0000000000E+00  6.5162907268E+00  3.1205299963E-04
  0.0000000000E+00  6.5664160401E+00  1.9808457705E-04
  0.0000000000E+00  6.6165413534E+00  1.2530265099E-04
  0.0000000000E+00  6.6666666667E+00  7.8987278798E-05
  0.0000000000E+00  6.7167919799E+00  4.9618238340E-05
  0.0000000000E+00  6.7669172932E+00  3.1060813475E-05
  0.0000000000E+00  6.8170426065E+00  1.9376333744E-05
  0.0000000000E+00  6.8671679198E+00  1.2045301717E-05
  0.0000000000E+00  6.9172932331E+00  1.7461927769E-05
  0.0000000000E+00  6.9674185464E+00  1.4606506626E-05
  0.0000000000E+00  7.0175438596E+00  1.2833868213E-05
