           #qpath      Energy(meV)
  0.0000000000E+00 -1.6075105008E-06
  1.3069069405E+00  1.7635012572E+01
  1.3137912577E+00  1.7671288048E+01
  1.3206755750E+00  1.7707170074E+01
  1.3275598922E+00  1.7742275134E+01
  1.3344442095E+00  1.7775106457E+01
  1.3413285267E+00  1.7791741728E+01
  1.3482128440E+00  1.7734514937E+01
  1.3550971612E+00  1.7651591618E+01
  1.3619814785E+00  1.7566673268E+01
  1.3688657957E+00  1.7481984031E+01
  1.3757501130E+00  1.7398041057E+01
  1.3826344302E+00  1.7315060307E+01
  1.3895187475E+00  1.7233171640E+01
  1.3964030647E+00  1.7152472880E+01
  1.4032873820E+00  1.7073047746E+01
  1.4101716992E+00  1.6994972953E+01
  1.4170560164E+00  1.6918321373E+01
  1.4239403337E+00  1.6843163570E+01
  1.4308246509E+00  1.6769568575E+01
  1.4377089682E+00  1.6697604286E+01
  1.4445932854E+00  1.6627337656E+01
  1.4514776027E+00  1.6558834774E+01
  1.4583619199E+00  1.6492160868E+01
  1.4652462372E+00  1.6427380263E+01
  1.4721305544E+00  1.6364556319E+01
  1.4790148717E+00  1.6303751334E+01
  1.4858991889E+00  1.6245026444E+01
  1.4927835062E+00  1.6188441507E+01
  1.4996678234E+00  1.6134054979E+01
  1.5065521407E+00  1.6081923792E+01
  1.5134364579E+00  1.6032103214E+01
  1.5203207752E+00  1.5984646722E+01
  1.5272050924E+00  1.5939605863E+01
  1.5340894097E+00  1.5897030120E+01
  1.5409737269E+00  1.5856966777E+01
  1.5478580441E+00  1.5819460787E+01
  1.5547423614E+00  1.5784554646E+01
  1.5616266786E+00  1.5752288262E+01
  1.5685109959E+00  1.5722698840E+01
  1.5753953131E+00  1.5695820766E+01
  1.5822796304E+00  1.5671685498E+01
  1.5891639476E+00  1.5650321469E+01
  1.5960482649E+00  1.5631753993E+01
  1.6029325821E+00  1.5616005183E+01
  1.6098168994E+00  1.5603093875E+01
  1.6167012166E+00  1.5593035571E+01
  1.6235855339E+00  1.5585842382E+01
  1.6304698511E+00  1.5581522989E+01
  1.6373541684E+00  1.5580082610E+01
  1.6373541684E+00  1.5580082610E+01
  1.6492118828E+00  1.5580839294E+01
  1.6610695971E+00  1.5583073636E+01
  1.6729273115E+00  1.5586678125E+01
  1.6847850259E+00  1.5591472321E+01
  1.6966427403E+00  1.5597201112E+01
  1.7085004547E+00  1.5603532583E+01
  1.7203581691E+00  1.5610055873E+01
  1.7322158835E+00  1.5616279585E+01
  1.7440735979E+00  1.5621631591E+01
  1.7559313123E+00  1.5625461356E+01
  1.7677890267E+00  1.5627046224E+01
  1.7796467410E+00  1.5625603295E+01
  1.7915044554E+00  1.5620308497E+01
  1.8033621698E+00  1.5610323938E+01
  1.8152198842E+00  1.5594833532E+01
  1.8270775986E+00  1.5573085085E+01
  1.8389353130E+00  1.5544434913E+01
  1.8507930274E+00  1.5508389178E+01
  1.8626507418E+00  1.5464635411E+01
  1.8745084562E+00  1.5413058720E+01
  1.8863661706E+00  1.5353739947E+01
  1.8982238849E+00  1.5286936714E+01
  1.9100815993E+00  1.5213051476E+01
  1.9219393137E+00  1.5132592531E+01
  1.9337970281E+00  1.5046133884E+01
  1.9456547425E+00  1.4954278602E+01
  1.9575124569E+00  1.4857628387E+01
  1.9693701713E+00  1.4697039967E+01
  1.9812278857E+00  1.4474251791E+01
  1.9930856001E+00  1.4248377619E+01
  2.0049433145E+00  1.4019764710E+01
  2.0168010288E+00  1.3788708891E+01
  2.0286587432E+00  1.3555467680E+01
  2.0405164576E+00  1.3320268964E+01
  2.0523741720E+00  1.3083316945E+01
  2.0642318864E+00  1.2844796384E+01
  2.0760896008E+00  1.2604875728E+01
  2.0879473152E+00  1.2363709498E+01
  2.0998050296E+00  1.2121440180E+01
  2.1116627440E+00  1.1878199757E+01
  2.1235204583E+00  1.1634111002E+01
  2.1353781727E+00  1.1389288594E+01
  2.1472358871E+00  1.1143840106E+01
  2.1590936015E+00  1.0897866906E+01
  2.1709513159E+00  1.0651464983E+01
  2.1828090303E+00  1.0404725742E+01
  2.1946667447E+00  1.0157736746E+01
  2.2065244591E+00  9.9105824521E+00
  2.2183821735E+00  9.6633449208E+00
  2.2302398879E+00  9.4161045216E+00
  2.2420976022E+00  9.1689406312E+00
  2.2539553166E+00  8.9219323296E+00
  2.2658130310E+00  8.6751590968E+00
  2.2776707454E+00  8.4287015110E+00
  2.2895284598E+00  8.1826419495E+00
  2.3013861742E+00  7.9370652920E+00
  2.3132438886E+00  7.6920596277E+00
  2.3251016030E+00  7.4477169637E+00
  2.3369593174E+00  7.2041339355E+00
  2.3488170318E+00  6.9614125161E+00
  2.3606747461E+00  6.7196607230E+00
  2.3725324605E+00  6.4789933191E+00
  2.3843901749E+00  6.2395325045E+00
  2.3962478893E+00  6.0014085932E+00
  2.4081056037E+00  5.7647606691E+00
